academia cursor	akatemian vahtimestari	academy janitor
academia plantagie	akatemian puutarhuri	academy gardener
accisskrifvare	aksiisikirjuri, aksiisiveron kerääjä	excise tax clerk
ackuschörska	kätilö	midwife
acteur, aktör	näyttelijä	actor
actuarien	arkistonhoitaja	archivist
adelsryttare	aatelinen ratsumies	noble cavalryman, knight
adjunctus, adjunkt	apu-, apulainen	assisting -, assistant -
adjunkt (präst)	apupappi, kappalainen	curate, chaplain
adjunctus archipraepositi	tuomiorovastin apulainen	cathedral dean's assistant
adjunctus pastoris	kirkkoherran apulainen	vicar's assistant
adjunctus praepositi	rovastin apulainen	dean's assistant
adjunctus sacellani	kappalaisen apulainen	chaplain's assistant, curate's assistant
adjunctus sacri ministerii	papiston virallinen apulainen, apulaispappi	assistant pastor
adjutant	upseerin tms. palvelija	adjutant
administrativ tjänsteman	hallinnollinen virkamies	official, civil servant
advokat	asianajaja	advocate, attorney-at-law, solicitor
advokatfiskal	kanneviskaali	prosecutor of the Court of Appeal
aedituus	lukkari	cantor
afdanken ryttare	viraltapantu ratsumies	discharged horseman
affärsbiträde	kauppa-apulainen	shop assistant
affärsman	kauppias, liikemies	businessman, merchant
afskedad, avskedad	virasta, palveluksesta eronnut	retired
agent	välittäjä	agent
agronom	maanviljelijä, agronomi	farmer, graduate of agricultural college
akademiker	akateemikko	academician
aktionär	osakas	partner, part owner, shareholder
aktor	virallinen syyttäjä	district attorney, the prosecuting officer of a district or district court
aktris	näyttelijätär	actress
aktuarie, actuar	aktuaari	registrar
alumnus	koululainen, kasvatuslapsi, suojatti	pupil, foster-child, ward
amanuens	apulainen	assistant, junior house officer
ambassadör	lähettiläs	ambassador
ambulatorska	kiertokoulunopettaja	teacher of ambulatory school
amiral	amiraali	admiral
amiralitetskapten	laivaston kapteeni	captain in the Navy
amma	imettäjä	wet nurse
anhängare	seuralainen	companion
apologist	käytännön tiedon opettaja	teacher of a school class learning the needs of practical life
apotekar, apothekar	apteekkari	chemist, pharmacist
apotheklärling	apteekkarioppilas	assistant pharmacist
arbetare	työläinen	labourer, worker
arbetsfogden	työnjohtaja	foreman
arbetsföreståndare	työnjohtaja, esimies	foreman, supervisor
arbetsgifvare	työnantaja	employer
arbetskarl	työmies	worker, working man
arbetsledare	työnjohtaja	foreman, supervisor
archidiaconus	arkkidiakoni, arkkiteini; tuomioseurakunnan ensimmäinen kappalainen	archdeacon, church official in charge of temporal and other affairs in a diocese, with powers delegated from the bishop.
archipraepositus	tuomiorovasti	cathedral dean, the lay judge of the Catherdral
arkitekt	arkkitehti	architect
arkivarie	arkistonhoitaja	archivist
arklimästare	linnoituksen asemestari	fort's armoury master
arrendator	arentimies, talonvuokraaja (1800-l loppupuolella)	leaseholder, renter of farm, tenant farmer (towards end of 19th century)
artillerist	tykkimies	artillerist
artist	taiteilija	artist
asfaltfabriksarbetare	asfalttitehtaan työmies	asphalt factory worker
aspirant	pyrkijä	applicant, candidate
assessor	asessori, aputuomari	assistant judge
auctions diregteur, auktionsdirektör	huutokaupan johtaja, tirehtööri	auction manager
auditeur, auditör	sotatuomari	military judge
auskultant	opettajaoppilas	teacher-student
auktionsmäklare	huutokaupan välittäjä, meklari	auction broker
auktor	kirjoittaja, alkaja	writer, author
avdelningschef	osastopäällikkö	departement head, supervisor
backstugokarl, backstugohjon, backstugosittare	mäkitupalainen	side cottage dweller, person renting residence on a farm's land (not usually working on the farm)
bagare	leipuri	baker
bagarmästare	leipurimestari	master-baker
bandit	rosvo	bandit, robber
banérfiskal	lippuviskaali, lippujunkkarien esimies	colour-sergeant, head of colour-bearers
banförman	rataesimies	railway line foreman
bankdirektör	pankinjohtaja	bank manager
bankfullmäktig	pankkivaltuutettu, pankkiedusmies	bank delegate
bankir	pankkiiri	banker
banvakt	ratavartija	railway lineman
barberare	parturi	barber
bard	runoilija	poet
barkare	parkkari, nahkuri	tanner
barnalärare	lasten opettaja, alakoulun opettaja	teacher in a primary school
barnmor, barnmorska	opinkäymätön kätilö, "paarmurska"	non educated midwife
barnsköterska	lastenhoitaja	nurse, nanny
baron	parooni	baron
bartender	baarimestari	bartender
bataljonsfältskär	pataljoonan sotilaslääkäri, välskäri	battalion doctor, military doctor
bataljonspredikant	pataljoonan sotilaspastori	battalion pastor, military priest
bataljonspräst	pataljoonan kappalainen	battalion chaplain, military priest
berbyggare	asukas	inhabitant
beckbruksdräng	pikiruukinrenki	pitch mills worker
beckbrännare	pienpolttaja, pikimies	pitch mills worker
befallningsman	vallesmanni, kruununvouti, esimies	sheriff, foreman
befälhavare	päällikkö	captain, master, commander (Navy)
begynnare	aloittelija	beginner
belletrist	kaunokirjailija	litterature author
bergsingenjör	kaivosinsinööri	mining engineer, master of metallurgy
bergsman	kaivosmies	miner
bergsproberare	malminkoettaja	ore probe (in a mine)
bergsprängare	laturi, räjäyttäjä	explosive specialist (in a mine)
besidesman	katselmusmies	inspector
besutten bonde	tilallinen, tilanomistaja	farm owner, propertied farmer
besökaren	tullivirkamies, "syökäri"	customs official
betjänt	palvelija, käskyläinen	servant, valet
bettlare	kerjäläinen	beggar
beväring	asevelvollinen	conscript soldier
bibliotekarie	kirjastonhoitaja	librarian
bildhuggare	kuvanveistäjä	sculptor
birfilare	viulunvinguttaja	violinist (deriding)
bisittare	aputuomari, oikeuden lisäjäsen, hallituksen jäsen (killassa)	assistant judge, extra member of jury, court assistant, member of the board
biskop	piispa	bishop
biträde	apulainen	assistant
bleckslagare	läkkiseppä	tin smith
blockman	tukkimies	lumberjack
bodbetjänt	kauppa-apulainen	shop assistant
bokbindare	kirjansitoja	bookbinder
bokförare	kirjanpitäjä, kirjuri	accountant, clerk
bokförläggare	kustantaja	publisher
bokhandlare	kirjakauppias	bookseller
bokhållare	kirjanpitäjä, kirjuri	accountant, book-keeper, clerk
bolagsman	yhtiömies	shareholder, partner, co-owner
bolman	lukumies kinkereillä	individual in a reading examination pool (adult village people belonged to pools that gathered to give reading etc. exams audited by pastor)
bonde	talonpoika, talollinen	farmer, house-owner
borgare	porvari, saamansa oikeuden perusteella kauppaa tai käsityöammattia harjoittava kaupunkilainen	burgher
borgenär	velkoja	creditor
borgesman	takaaja	guarantor
borgmästare	pormestari	mayor
borstbindare	harjansitoja	broom-maker
bostbonde	postitalonpoika	farmer in charge of delivering the mail
botaniker	kasvientutkija	botanist
brandman	palomies	firefighter, fireman
brandmästare	palomestari	fire brigade chief, fire company officer
brandvakt	palovartija	fire watch-man
brevbärare	kirjeenkantaja	mailman
brigad chef	prikaatinpäällikkö	brigade commander
brofogde	siltavouti	bridge bailiff
bromsare	jarrumies (rautat.), bromsari	brake man (railway engine)
brukare	vuokraviljelijä	tenant farmer, farmer that has leased the land
bruksdisponent	ruukinjohtaja	general manager of mill/factory/works
bruksförvaltare	ruukinhoitaja	keeper of mill/factory/works
bruksinspektor	ruukinpehtori	inspector of mill/factory/works
brukspatron, bruksägare	ruukinpatruuna, omistaja	owner of mill/factory/works
brukspredikant	ruukin saarnaaja	chaplain/preacher in mill/factory/works
bruksstyresman	ruukinesimies	supervisor of mill/factory/works
bryggare	juomanpanija	brewer
bryggeriidkare	panimonomistaja	brewery owner
bryggmästare	panimomestari	master brewer
brädbärare	laudankantaja	plank carrier
brädjusterare	tapuloitsija	plank adjuster
brännmästare	polttimomestari viinatehtaassa	distillery master
bränneridräng	polttimorenki viinatehtaassa	hired man in distillery
budbärare	sanansaattaja	messenger
buldansväfvare	purjekankaankutoja, "pultaaninkutoja"	sail weaver
buntmakare	turkkuri	furrier
byfattig	kylänvaivainen	poorly person, taken care of by the villagers
byggmästare	rakennusmestari	master builder, building master
byman	porvari	burgher
byråchef	osastopäällikkö	head of department
byrådirektör	apulaisosastopäällikkö	assistant head of department
byskomakare	kyläsuutari	village shoemaker
byskräddare	kyläräätäli	village tailor
bysnickare	kyläpuuseppä	village carpenter
bysseskytter	tykkimies	artillerist
byålderman	kylän vanhin, oltermanni	village eldest, alderman
bågman, bågskytt	jousimies, jousiampuja	archer
båtsman	puosu, pursimies, laivamies (sot.)	boatswain, seaman (military)
bältare	vyöntekijä, myöhemmin gördelmakare	beltmaker, later gördelmakare
bärare	kantaja	carrier, porter
böckare	tynnyrintekijä, laudoittaja	cooper
bödel	pyöveli, mestaaja	executioner, hangman
cammartienaren	kamaripalvelija	chambermaid, butler
campanarius	kellonsoittaja	bell ringer (of church bells)
canonieren	tykkimies laivassa	navy artillerist
cantor	kanttori	cantor, the person who leads a church choir or congregation in singing
capellan, capellanus	kappalainen, kappeliseurakunnan pastori tai suuren seurakunnan vakinainen apulaispappi	chaplain, curate
capell.predikant	kappalaisen apulainen	assisting chaplain
capitain	kapteeni	captain (mil. rank)
capitularis	tuomiokapitulin jäsen	associate member of the department of justice (in Church)
capplan	kappalainen	chaplain, curate
carduan makare	ks. karduansmakare	see karduansmakare
casseur	rahanhoitaja	treasurer
catecheten	katekeetta, kirkollinen kiertokoulunopettaja, v.1700-1954	teacher of Church's ambulatory school
charge d'affaires	asiamies	agent, representative
charlatan	puoskari, veijari	quacker, rascal
chaufför	kuski, kuljettaja	chauffeur, driver, cabman
chef	päällikkö	chief
choralis	kuoripappi	choralist
civilekonom	ekonomi	bachelor of science (economy)
civilist	siviili	civilian
civilingenjör	diplomi-insinööri	master of science (engineering), professional engineer
civis academicus	ylioppilas	student
clarinett blåsaren, clarinisten	klarinetin soittaja	clarinetist
clericus	pappi	priest, pastor
coadjutor, collaborator	apulainen	assistant, helper
collega superior magistro	korkeakoulun maisteri	magister in the university
collegan	kolleega, opettaja	student (or former student) at a college or university
comminister	kappalainen	chaplain, curate
commissionslandtmätare	piirimaanmittari	district land surveyor
compagnie profoss	komppanian sotapoliisi, rangaistusten toimeenpanija	company prosecutor, military police
compagnie trumslagare	komppanian rumpali	company drummer
concionator	saarnaaja	preacher
concionator anni gratiae	armovuodensaarnaaja	preacher assigned for sermons during an important church year
concionator domesticus	kotisaarnaaja	home preacher
conducteur	työnjohtaja	foreman, supervisor
consistorialis	tuomiokapitulin jäsen	associate member of the department of justice ( in Church)
consistorii notarius	tuomiokapitulin notaari	a notary of the department of justice (in Church)
consistorii praeses	konsistorin (tuomiokapitulin) esimies	a superintendent of the departmen of justice (in Church)
conterfejare	siluetti maalari, kasvokuvamaalari	silhouette painter, artist
contorskrifvaren	konttorikirjuri	office clerk
contractus	kirkkoherra, lääninrovasti	vicar, dean
contractus praepositus	lääninrovasti	dean
copist	kopisti	copier
coopvärdi båtsman	kauppa-aluksen puosu, pursimies	boatswain of a merchant ship
coopvärdi capitain	kauppa-aluksen kapteeni (merellä kulkeva laiva) ks. kofferdi..	captain of a merchant ship (sailing overseas) see kofferdi..
coopvärdi skeppare	kauppa-aluksen laivuri (rantavesillä kulkeva laiva)	skipper of a merchant ship (sailing on coastal waters)
coopvärdi styrman	kauppa-aluksen perämies	mate of a merchant ship
coopvärdi sjöman	kauppa-aluksen merimies	sailor of a merchant ship
coopvärdi timmerman	kauppa-aluksen kirvesmies	carpenter of a merchant ship
cornett	kornetti	cavalry first lieutenant
corporal	korpraali	corporal
crono befallningsman	kruununvouti	sheriff
cronolänsman	kruununnimismies, nimismies	district sheriff
curator	holhooja	guardian, welfare officer
curatus	kappalainen	chaplain, curate
curam gerens pastoris	kirkkoherran viranhoitaja	vicar's substitute
dagakarl, daglönare, dagsverkare	päiväläinen, päivätyömies	day labourer
dagdrifvare, dagtjuf	tyhjäntoimittaja	good-for-nothing
danneman	tilanomistaja, kunnon mies	farm/house owner, good fellow
dannekvinna	kunniallinen nainen	good reputed lady
dansmästare	tanssinopettaja	teacher of dancing
dansör, dansös	tanssija, tanssijatar	dancer (m), (f)
deja, deija	yleensä karjakko, myös imettäjä tai aviottoman lapsen synnyttänyt nainen	usually milkmaid, also a wet-nurse, or woman who has given birth to an illegitimate child
dejour	päivystäjä	duty officer
dekanus	dekaani	dean
delägare	osakas	partner
demagog	kansankiihottaja	demagogue
depitor	velallinen	debtor
depotföreståndare	varikkoesimies	principal of a depot
dessinatör	kangassuunnittelija	pattern constructor, designer
destillator	tislaaja viinatehtaassa	distiller
detektiv	etsivä, poliisi	detective
diakonus	diakoni, toinen kappalainen	deacon
dignitär	ylimys	nobleman
direktör	johtaja	director
discipel	oppilas	disciple, pupil
disponent	isännöitsijä, toimitusjohtaja	managing director
divini verbi minister	virka-asemasta riippumaton pappistitteli	gods servant
divisionschef	divisioonanpäällikkö	division commander
docent	dosentti	associate professor
doctor	tohtori	doctor, physician
doctor sacrosanctae theologiae	pyhän teologian tohtori	doctor of holy theology
domare	tuomari	judge
domesticus	palvelija	servant
domhavande	tuomari	judge
dominus	pappi, mutta voi olla myös ritari	priest, also knight
domkyrkosyssloman	tuomiokirkon taloudenhoitaja	cathedral treasurer
domprost	tuomiorovasti	catherdral dean
drabant	henkivartija	guardsman, bodyguard
dragon	rakuuna, kevyttä ratsuväkeä, liikkuu ratsain, taistelee jalkaisin	dragoon, light cavalryman
driftchef	käyttöpäällikkö	chief engineer, plant manager
driftsingenjör	käyttöinsinööri	plant engineer
drotsi	hovioikeuden presidentti, oikeusasioiden ylin hoitaja	president of the Court of Appeal
dräng	renki, trenki (alunp. lounaissuomalainen sana)	farm-hand, hired man
drängfogde	isäntärenki	foreman of the farm-hands
drängpojke	renkipoika	boy, young farm hand
drätselkamrerare	kaupunginkamreeri	city treasurer
dublering	kaksikas - kahden ruodun yhdessä varustama ylimääräinen sotilas Pohjan Sodassa 1700. Kerättiin oman maan suojaksi kun armeija oli rintamalla ks. tremänning, fyrmänning, femmänning	double - an extra soldier that was equipped cooperatively by two 'ruotus' in 1700's see tremänning, fyrmänning, femmänning
dykaren	sukeltaja	diver
dykericommissarie	sukelluskomissaari (vastasi tavaran nostoista hylyistä)	"diving commissioner" (responsible for salvaging wrecks)
dödgrafvare	haudankaivaja	grave digger
edituus	ks. aedituus	see aedituus
efterträdare	seuraaja, viran perijä	successor
egendomsherre	kartanonherra	master of a manor
egen företagare	yksityisyrittäjä	private enterpriser, businessman
eggsmed	viikateseppä	scythe smith
ekipagemästare	laivanvarustelumestari	equipment master, ship's outfitter
ekonom	taloudenhoitaja	steward, manager
ekonomidirektör	tarlousjohtaja	finance manager
ekvilibrist	nuorallatanssija	ropedancer
eldare	veturinlämmittäjä	stoker, fireman on railway locomotive
elektor	valitsijamies	elector
elektriker	sähkömies	electrician
element lärare	alkeiskoulun opettaja	primary school teacher
elev	oppilas	pupil
embetsman	ylempi virkamies	superior civil servant
enrolleringsman	kirjoille otettu sotamies	enlisted troop
entreprenör	urakoitsija, yrittäjä	contractor, entrepreuner
episcopus	piispa	bishop
eques	ritari	knight
evangelist	evankelista	evangelist
executionsbetjänt, executor	ulosottomies	bailiff, execution officer
expedit	kauppa-apulainen	shop assistant, clerk
expeditions- befallningsman	nimismiehen tai kruununvoudin sijainen	deputy sheriff, deputy district sheriff
expeditionsfogde	nimismiehen tai voudin sijainen	deputy sheriff, deputy district sheriff
extern	ulko-oppilas (sair.)	non-resident doctor or medical student
extra kammarskrivare	ylimääräinen verokirjuri	assistant tax clerk
extraordinarie kammarskrivare	ylimääräinen vakinainen verokirjuri	assisting permanent tax clerk
fabrigeur, fabrikant, fabrikör	tehtailija	manufacturer
fabriksarbetare	tehdastyöläinen	factory worker
fabrikschef	tehtaanjohtaja	factory manager
fackman	ammattimies	expert
fajansarbetare	fajanssityöläinen	faiance worker
faktor	faktori (painotalon esimies)	foreman in a printing plant
falskmyntare	väärän rahan tekijä	counterfeiter
fanjunkare	"faanjunkkari", lippujunkkari, lipunkantaja (jalkav.), standardinkantaja (rats.) ylin aliupseeriarvo, myös kadetti, tykistö ei käyttänyt lippuja eikä standardeja; alunperin nuori aatelismies ks. styckjunkare	colour-bearer (inf.) standard-bearer (cav.), warrant officer, also cadet; originally a young man of nobility see styckjunkare
farmaceut	farmaseutti	pharmaceutist
fattigbössa, fattigbubbe	vaivaisukko, "vatipyssy"	poor-house man
fattighjon	vaivaistalon vaivainen	poor-house inmate
fattigvårdscasseur	köyhäinhoidon rahastonhoitaja	social welfare treasurer
femmänning	viisikäs, viiden ruodun yhdessä varustama ylimääräinen sotilas 1700 luvulla Pohjan Sodassa  ks. dublering, tremänning, fyrmänning	extra soldier that was equipped cooperatively by five 'ruotus' in 1700's see dublering, tremänning, fyrmänning
figurant	muotokuvan tekijä	portrait maker
filare	viilaaja	filer
filhuggare	viilantekijä	file maker
filtmakare	huovuttaja	felt maker
fiskal	viskaali, syyttäjä	fiscal, prosecutor
fiskare	kalastaja	fisherman
fiskeritillsyningsman, fiskeriintendent	kalastamotarkastaja	inspector of fisheries
fiskköpare	kalakauppias	fishmonger
fiskarelapp	kalastajalappalainen	Lappish fisherman
fjällapp	tunturilappalainen, poromies	reindeer herding Lapp
fjärdingsman	neljännesmies, avusti pitäjässä kruunun hallintoa verojenkeruussa ja järjestyksenpidossa ym. - näitä oli valittuna kerrallaan neljä, siitä nimi (1800-l lopulle saakka)	kind of bailiff, assisting crown's men in collecting taxes and maintaining law and order; four men were in office at time, hence the name "quarter man"
flagellator	piiskuri	whipper
flygeladjutant	sivusadjutantti, hallitsijan henkilökohtainen adjuntantti	flank adjuntant, personal adjuntant of the sovereign
flygelman	sivustamies, sotilas	flank soldier
flåbuse	nylkyri	skinner
fogde	vouti, maatilalla tilanhoitaja	sheriff, farm bailiff, overseer
folkskollärare	kansakoulunopettaja	elementary school teacher
fondmäklare	arvopaperimeklari, pörssimeklari	stockbroker
fordringsägare	velkoja, saamamies	creditor
forman	kuorma-ajuri	charge driver
fornforskare	arkeologi	archaeologist
forsarbetare	koskityömies	rapids worker (preparing a hydro power plant)
forsrensare	koskenperkaaja	rapids clerarer (preparing a hydro power plant)
forsstyrman	koskenlaskija	shooter of rapids (on a float, boat or log)
forstmästare	metsänhoitaja	forester
forstuppsyningsman	metsänhoidon tarkastaja	forestry inspector
fotdragon	jalkarakuuna, "kivekäs", Pohjan sodan aikana perustettujen talonpoikaisten sissijoukkojen sotilas, 1700-luvulla pääosin Inkerinmaan pakolaisia	infantry soldier, peasant guerilla troop in 18th century
fotograf	valokuvaaja	photographer
fotsoldat	jalkamies, jalkaväen sotilas	infantry soldier
fourier	majoittaja	quarterman (military title)
franciskan	fransiskaanimunkki	franciscan
frasmakare	puhuja	speaker
fredsdomare	sovintotuomari	reconciliation judge
fribytare	merisissi, merirosvo	buccaneer, pirate
friherre, friherrinna	vapaaherra (-tar), paroni (-tar)	baron, baroness
frilla	jalkavaimo	concubine
frisör	kampaaja	hairdresser
fru	rouva	madam, married woman
fruntimmeskräddare	naisten vaatteiden tekijä	women's dressmaker
frälseinspectoren	rälssitilan pehtori	inspector on tax-exempt farm
frälsebefallningsman	rälssitilan työnjohtaja	bailiff, foreman on tax-exempt farm
frälsebetjänt	aatelispalvelija	nobleman's servant
frälsebonde	rälssitilallinen	owner/farmer of tax-exempt farm
frälselandbonde	rälssitilan lampuoti, vuokraaja	tenant of tax-exempt farm
fullmäktig	valtuutettu, valtuusmies, edusmies	authorized agent, town councillor
funktionär	virkailija	official
furir	majoittaja, korpraali (1700 -luvulla)	quarterman, corporal (18th century)
furste	ruhtinas, "vörsti"	prince
furstinna	ruhtinatar	princess
fyrmänning	nelikäs, neljän ruodun yhdessä varustama ylimääräinen sotilas 1700 luvulla Pohjan Sodassa  ks. dublering, tremänning, femmänning	extra soldier that was equipped cooperatively by four 'ruotus' in 1700's see dublering, tremänning, femmänning
fyrvakt	majakanvartija	lighthouse watch
fyrvärkare	räjähdeasiantuntija, ilotulittaja	explosive expert, fireworks expert
fysiker	fyysikko	physicist
fysiognom	kasvojenlukija, -tietäjä	physiognomist
fånge	vanki	inmate
fångesman	saantomies	creditor
fångforslare, fångförare	vangin kuljettaja	warden, prison guard (transporting the prisoners)
fånghus vaktman, fångvaktare, fångknekt	vanginvartija	warden, prison guard
fäherd, fäherde	karjapaimen	cattle shepherd, cowboy
fäktmästare	miekkailunopettaja	swordsmaster, teacher of fencing
fältherre	sotapäällikkö	mil. commander
fältjägare	kenttäjääkäri	rifleman
fältkamrer	sotakamreeri	chief accountant of the military
fältläkare	sotilaslääkäri	military doctor
fältprost	kenttärovasti	field dean
fältskär	välskäri, haavalääkäri	military doctor, surgeon, wound doctor
fältvakt	kenttävartija	guard
fältväbel	vääpeli	staff sergeant
fänrik	vänrikki	second lieutenant, sub-lieutenant
färgare	värjäri	dyer
färgarelärlingen	värjärioppilas	dyer's apprentice
färgeri verkmästare	värjäämön mestari, työnjohtaja	dyer work's foreman
färjekarl	lossimies	ferryman
fästningsfånge	linnoituksen vanki	prisoner in fortress
följeslagare	seuralainen, saattaja	companion
förafskedad soldat	erotettu tai eläkkeelle laskettu sotilas	dismissed or retired soldier
förare	lippumies, arvoltaan kersantti 1700 -luvulla, vastasi kuormaston kulusta ja leiripaikoista, majoittaja	banner bearer, ranking a sergeant in 18th century, quarterman
förbrytare	pahantekijä	malefactor
fördubblingsbåtsman	ylimääräinen merisotilas, joka ruodun oli Ruotsissa varustettava varsinaisen merisotilaan lisäksi (vuoteen 1811 saakka). Gotlannissa, Bohusissa ja Hallandissa kaksi ruotua yhdessä varusti tämän ylimääräisen merisotilaan.	extra reserve sailor that was equipped and maintained by each "ruotu" farm in Sweden until 1811, in addition to the ordinary sailor that the "ruotu" had to maintain anyway.
föredragande	esittelijä	reporting officer, lecturer
förespråkare	puolustaja	defender
föreståndare , föreståndarinna	johtaja, rehtori	director, headmaster, headmistress
företrädare	edeltäjä	predecessor
författare	kirjailija	writer
förkämpe	esitaistelija, puoltaja	champion, defender
förlagsman, förläggare	kustantaja	publisher
förman	esimies	foreman, supervisor
förmyndare	holhooja	guardian
förpaktare	vuorkamies	leaseholder
förrådsförvaltare, förrådsmästare	varastonhoitaja	stores-master (military)
förskollärare	esikoulunopettaja	nursery-school teacher
förstärkingskarl	vahvistusmies	reinforcement soldier
förtroendeman	luottamusmies	trustee
förvaltare	haltija, tilanhoitaja, vouti, "valttari, förvalttari"	steward, procurator, farm bailiff
förvaltningsråd	hallintoneuvos	justice of the Supreme Adminstrative Court
gammal soldat	vanha sotilas, entinen sotilas	old soldier, former soldier
gardist	kaartilainen	guardsman
garvare	nahkuri, karvali, parkkari	tanner
garvaregesäll	nahkurinsälli, kisälli	tanner assistant. journeyman
